+--------------------------------+--------------------------------------------------------------------------------------+---------+-------------------------------------------------------------------------------+-----------------+------------------------------------------+-------------------------------------------------------------------------+-------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------+
| manifest_schema                | manifest_id                                                                          | arm     | graph_id                                                                      | layer           | value_schema                             | config_identity                                                         | resolved_digest                                                         | depends_on                                                                                                                                      |
| rag-ttc.experiment-manifest/v2 | experiment-manifest:efc27829f4d7da0f98e7528b01635b52f9c45588adc841666217d9c00b5359a7 | limit-1 | config-graph:03c797ad7930837aa220f402d56dc6444ccd2b7c0099642e3518c85883798d08 | answer          | schema:rag-ttc.config.answer/v1          | config:87b0b8458db144a5c709085a56917a3ce90608831143aa3ab6244cb38d3f575e | sha256:61260ec3f85f9c872fdf94ba0053c73f013f07a661c204d5302e7e59f54cdc87 | config:60cf498a3eb4f1e08004e22505d0dc5c52818ed2ab6e51b792a0c2125f429582                                                                         |
| rag-ttc.experiment-manifest/v2 | experiment-manifest:efc27829f4d7da0f98e7528b01635b52f9c45588adc841666217d9c00b5359a7 | limit-1 | config-graph:03c797ad7930837aa220f402d56dc6444ccd2b7c0099642e3518c85883798d08 | judge           | schema:rag-ttc.config.judge/v1           | config:e51e3678bb8cb191301c8259f6fb227b20b032a15c6ab5e947d380e777cd48ab | sha256:eaab2a2bed0b387e06228f36586596a5f3ebddf1dd318b2f42295fa55ae5aa29 | config:87b0b8458db144a5c709085a56917a3ce90608831143aa3ab6244cb38d3f575e                                                                         |
| rag-ttc.experiment-manifest/v2 | experiment-manifest:efc27829f4d7da0f98e7528b01635b52f9c45588adc841666217d9c00b5359a7 | limit-2 | config-graph:8861fa4568950d3148f20ecaaf96aa1195cea09697784f39706d7d5a184f9970 | corpus          | schema:rag-ttc.config.corpus/v1          | config:8cacbe6e0555b972805f6e90e71d3ef1ab2f53eae1f8871cbbdd72ed669e5415 | sha256:f32db127592230be307cbc8149b79f7014cc7cfd6b549dbd03f76b4455b7acb1 |                                                                                                                                                 |
| rag-ttc.experiment-manifest/v2 | experiment-manifest:efc27829f4d7da0f98e7528b01635b52f9c45588adc841666217d9c00b5359a7 | limit-2 | config-graph:8861fa4568950d3148f20ecaaf96aa1195cea09697784f39706d7d5a184f9970 | chunking        | schema:rag-ttc.config.chunking/v1        | config:5c63a7940c5523d659bd4568c647acda6aef21bfa18861a05b8f63ac5fedd460 | sha256:dce89f526d19bbdacea7cb033aea1a0ed565b0455ea4c4e94323948683a69e3e | config:8cacbe6e0555b972805f6e90e71d3ef1ab2f53eae1f8871cbbdd72ed669e5415                                                                         |
| rag-ttc.experiment-manifest/v2 | experiment-manifest:efc27829f4d7da0f98e7528b01635b52f9c45588adc841666217d9c00b5359a7 | limit-2 | config-graph:8861fa4568950d3148f20ecaaf96aa1195cea09697784f39706d7d5a184f9970 | representations | schema:rag-ttc.config.representations/v1 | config:935a41047bac455c01413280c06e40a4c639c814ad46a780ab8fab2412f3e1e7 | sha256:9f0b306d10dbcb84371a28752d4d93e7a71899d7149dfd1897e9da9b170bc1d3 | config:5c63a7940c5523d659bd4568c647acda6aef21bfa18861a05b8f63ac5fedd460                                                                         |
| rag-ttc.experiment-manifest/v2 | experiment-manifest:efc27829f4d7da0f98e7528b01635b52f9c45588adc841666217d9c00b5359a7 | limit-2 | config-graph:8861fa4568950d3148f20ecaaf96aa1195cea09697784f39706d7d5a184f9970 | embeddings      | schema:rag-ttc.config.embeddings/v1      | config:5f3aab2f3c02eb2ff5a0d5240843bac94b271bbd06338439d604af6cc73196a7 | sha256:b47f66f9f25590107cbaa35afa9aae31eacd45eff48c97b1f1fd2d8567e0d124 | config:935a41047bac455c01413280c06e40a4c639c814ad46a780ab8fab2412f3e1e7                                                                         |
| rag-ttc.experiment-manifest/v2 | experiment-manifest:efc27829f4d7da0f98e7528b01635b52f9c45588adc841666217d9c00b5359a7 | limit-2 | config-graph:8861fa4568950d3148f20ecaaf96aa1195cea09697784f39706d7d5a184f9970 | indexes         | schema:rag-ttc.config.indexes/v1         | config:c489559950e2f90c4ebdc025ad46a9dc2cfe08d4d1df0945dbeca6182a616704 | sha256:37430581d01b118ef01d1e1d1574414a291a6b479670fa8f7f3bf8bb1afd30f5 | config:5f3aab2f3c02eb2ff5a0d5240843bac94b271bbd06338439d604af6cc73196a7,config:935a41047bac455c01413280c06e40a4c639c814ad46a780ab8fab2412f3e1e7 |
| rag-ttc.experiment-manifest/v2 | experiment-manifest:efc27829f4d7da0f98e7528b01635b52f9c45588adc841666217d9c00b5359a7 | limit-2 | config-graph:8861fa4568950d3148f20ecaaf96aa1195cea09697784f39706d7d5a184f9970 | retrieval       | schema:rag-ttc.config.retrieval/v1       | config:59ba450b5707da60d9301cc9ce937005b530a9501e728d951db9bf7eaf53b08f | sha256:fe5cc6240b3798ccb98d9226458bffc6b445b7120cf202c0f92942304185d552 | config:c489559950e2f90c4ebdc025ad46a9dc2cfe08d4d1df0945dbeca6182a616704                                                                         |
| rag-ttc.experiment-manifest/v2 | experiment-manifest:efc27829f4d7da0f98e7528b01635b52f9c45588adc841666217d9c00b5359a7 | limit-2 | config-graph:8861fa4568950d3148f20ecaaf96aa1195cea09697784f39706d7d5a184f9970 | fusion          | schema:rag-ttc.config.fusion/v1          | config:040ca368612731f10751808236517ef58ef5d7d854136bec2305d122645c6be9 | sha256:a55ef07f885185576b27bf88b8aeee8cf89d70f079f80c29288f0cb32a5038d6 | config:59ba450b5707da60d9301cc9ce937005b530a9501e728d951db9bf7eaf53b08f                                                                         |
| rag-ttc.experiment-manifest/v2 | experiment-manifest:efc27829f4d7da0f98e7528b01635b52f9c45588adc841666217d9c00b5359a7 | limit-2 | config-graph:8861fa4568950d3148f20ecaaf96aa1195cea09697784f39706d7d5a184f9970 | reranking       | schema:rag-ttc.config.reranking/v1       | config:7cf7d081f72d5cfcf065c7c66b47a601520f54a839201840d7ec53b0bdc3c019 | sha256:ca4e43126f52e379a2161a3c6ed8ac5460046c6e732c83354253933b45f9754f | config:040ca368612731f10751808236517ef58ef5d7d854136bec2305d122645c6be9                                                                         |
| rag-ttc.experiment-manifest/v2 | experiment-manifest:efc27829f4d7da0f98e7528b01635b52f9c45588adc841666217d9c00b5359a7 | limit-2 | config-graph:8861fa4568950d3148f20ecaaf96aa1195cea09697784f39706d7d5a184f9970 | evidence        | schema:rag-ttc.config.evidence/v1        | config:4d9a6dfcb5ff7885deefdb6031d429aa9107b664bafd8b51b230bb2583c53747 | sha256:30a618dae614ae3d2af085ab4a5c9204ee597c9eb2ce68bd154b6461e165873e | config:7cf7d081f72d5cfcf065c7c66b47a601520f54a839201840d7ec53b0bdc3c019                                                                         |
| rag-ttc.experiment-manifest/v2 | experiment-manifest:efc27829f4d7da0f98e7528b01635b52f9c45588adc841666217d9c00b5359a7 | limit-2 | config-graph:8861fa4568950d3148f20ecaaf96aa1195cea09697784f39706d7d5a184f9970 | context         | schema:rag-ttc.config.context/v1         | config:60cf498a3eb4f1e08004e22505d0dc5c52818ed2ab6e51b792a0c2125f429582 | sha256:5a75b9934584a6a632803ab74592b87d3bba3a11b65be46278e6097cfb8b16ce | config:4d9a6dfcb5ff7885deefdb6031d429aa9107b664bafd8b51b230bb2583c53747                                                                         |
| rag-ttc.experiment-manifest/v2 | experiment-manifest:efc27829f4d7da0f98e7528b01635b52f9c45588adc841666217d9c00b5359a7 | limit-2 | config-graph:8861fa4568950d3148f20ecaaf96aa1195cea09697784f39706d7d5a184f9970 | answer          | schema:rag-ttc.config.answer/v1          | config:87b0b8458db144a5c709085a56917a3ce90608831143aa3ab6244cb38d3f575e | sha256:fd88e8a201078d620e9e04b4cb88aa8f9afd53e03babe73f424a826c24652645 | config:60cf498a3eb4f1e08004e22505d0dc5c52818ed2ab6e51b792a0c2125f429582                                                                         |
| rag-ttc.experiment-manifest/v2 | experiment-manifest:efc27829f4d7da0f98e7528b01635b52f9c45588adc841666217d9c00b5359a7 | limit-2 | config-graph:8861fa4568950d3148f20ecaaf96aa1195cea09697784f39706d7d5a184f9970 | judge           | schema:rag-ttc.config.judge/v1           | config:e51e3678bb8cb191301c8259f6fb227b20b032a15c6ab5e947d380e777cd48ab | sha256:8f4476bf89bf04ddddc4c0c9da9e92d5cd138654715fedb87f7d2f13e0226ca4 | config:87b0b8458db144a5c709085a56917a3ce90608831143aa3ab6244cb38d3f575e                                                                         |
+--------------------------------+--------------------------------------------------------------------------------------+---------+-------------------------------------------------------------------------------+-----------------+------------------------------------------+-------------------------------------------------------------------------+-------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------+
